symbol,timeframe,direction,entry_time,entry_index,entry,initial_stop,tp1,tp2,tp3,score,reason,size_units,risk_amount,exit_time,exit_index,total_r,pnl_quote,status,exits,asset_class,hold_bars,entry_hour_utc,session
SSVUSDT,4h,long,2024-04-28T00:00:00+00:00,708,52.890576,42.641214285714284,73.35757142857145,88.71575000000001,104.0739285714286,100,"long reclaim above 50.89000000; valid pullback; ICT(6): bull_fvg[704:706]=46.10000000-47.02000000;bull_ob=43.24000000-43.95000000;ote=43.85620000-44.91360000;sellside_sweep=42.55000000;ny_killzone=False; DIV(0): none/neutral; MTF(8): 15min:bull,1h:bull,4h:bull; COINLEGS(0): alpha=nan, bias=missing, no Coinlegs snapshot columns; COIL(0): score=missing; score=100",9.5482986435366,97.8639665536303,2024-04-30T08:00:00+00:00,722,-1.0045600447107976,-98.31023061669086,closed,"[{""timestamp"": ""2024-04-30T08:00:00+00:00"", ""price"": 42.632686042857145, ""fraction"": 1.0, ""r_multiple"": -1.0045600447107976, ""reason"": ""stop""}]",crypto,14,0,asia
ARUSDT,4h,long,2024-05-12T12:00:00+00:00,795,42.7455474,38.971314285714286,50.268371428571434,55.91690000000001,61.56542857142858,100,"long reclaim above 42.41100000; valid pullback; ICT(8): bull_fvg[776:778]=40.15700000-40.31700000;bull_ob=38.10600000-40.15700000;ote=39.34734000-40.56352000;sellside_sweep=37.84500000;ny_killzone=True; DIV(0): none/neutral; MTF(8): 15min:bull,1h:bull,4h:bull; COINLEGS(0): alpha=nan, bias=missing, no Coinlegs snapshot columns; COIL(0): score=missing; score=100",25.669019722380984,96.88086424746339,2024-05-13T00:00:00+00:00,798,-1.0107247985486298,-97.91989199973459,closed,"[{""timestamp"": ""2024-05-13T00:00:00+00:00"", ""price"": 38.963520022857146, ""fraction"": 1.0, ""r_multiple"": -1.0107247985486298, ""reason"": ""stop""}]",crypto,3,12,london
PEOPLEUSDT,4h,long,2024-05-11T12:00:00+00:00,789,0.032286456000000005,0.026524142857142857,0.043791714285714295,0.052425500000000014,0.06105928571428573,100,"long reclaim above 0.03100000; valid pullback; ICT(8): bull_fvg[785:787]=0.02805000-0.02940000;bull_ob=0.02455000-0.02537000;ote=0.02663030-0.02789340;sellside_sweep=0.02437000;ny_killzone=True; DIV(0): none/neutral; MTF(8): 15min:bull,1h:bull,4h:bull; COINLEGS(0): alpha=nan, bias=missing, no Coinlegs snapshot columns; COIL(0): score=missing; score=100",16812.842663289663,96.88086424746339,2024-05-18T12:00:00+00:00,831,2.54788709867321,246.8415041244226,closed,"[{""timestamp"": ""2024-05-15T12:00:00+00:00"", ""price"": 0.04378295594285715, ""fraction"": 0.4, ""r_multiple"": 0.7959353748272516, ""reason"": ""tp1""}, {""timestamp"": ""2024-05-15T16:00:00+00:00"", ""price"": 0.052415014900000015, ""fraction"": 0.3, ""r_multiple"": 1.0461776970529093, ""reason"": ""tp2""}, {""timestamp"": ""2024-05-18T12:00:00+00:00"", ""price"": 0.045874023359999995, ""fraction"": 0.30000000000000004, ""r_multiple"": 0.7057740267930488, ""reason"": ""stop""}]",crypto,42,12,london
PYRUSDT,4h,long,2024-05-20T16:00:00+00:00,844,4.9619922,4.453535714285715,5.975928571428572,6.737125000000001,7.498321428571429,100,"long reclaim above 4.77200000; valid pullback; ICT(6): bull_fvg[828:830]=4.69500000-4.70600000;bull_ob=4.17500000-4.31900000;ote=4.29260000-4.38780000;sellside_sweep=4.45300000;ny_killzone=False; DIV(0): none/neutral; MTF(8): 15min:bull,1h:bull,4h:bull; COINLEGS(0): alpha=nan, bias=missing, no Coinlegs snapshot columns; COIL(0): score=missing; score=100",193.46804128286192,98.37008036871028,2024-05-23T16:00:00+00:00,862,-1.0091582311496583,-99.27097630293738,closed,"[{""timestamp"": ""2024-05-23T16:00:00+00:00"", ""price"": 4.452645007142857, ""fraction"": 1.0, ""r_multiple"": -1.0091582311496583, ""reason"": ""stop""}]",crypto,18,16,new_york
ARUSDT,4h,long,2024-05-17T04:00:00+00:00,823,48.449687999999995,40.65428571428571,64.01142857142857,75.69,87.36857142857141,100,"long reclaim above 46.74000000; valid pullback; ICT(6): bull_fvg[812:814]=41.55000000-43.10300000;bull_ob=40.51300000-41.55000000;ote=41.82067000-42.87926000;sellside_sweep=37.72500000;ny_killzone=False; DIV(0): none/neutral; MTF(8): 15min:bull,1h:bull,4h:bull; COINLEGS(0): alpha=nan, bias=missing, no Coinlegs snapshot columns; COIL(0): score=missing; score=100",12.302336917648724,95.90166532746605,2024-05-23T20:00:00+00:00,863,-1.0056147447792307,-96.44012870218297,closed,"[{""timestamp"": ""2024-05-23T20:00:00+00:00"", ""price"": 40.646154857142854, ""fraction"": 1.0, ""r_multiple"": -1.0056147447792307, ""reason"": ""stop""}]",crypto,40,4,asia
LPTUSDT,4h,long,2024-05-25T00:00:00+00:00,870,23.5167024,21.176992857142857,28.18201428571429,31.684525000000004,35.18703571428572,100,"long reclaim above 23.41200000; valid pullback; ICT(6): bull_fvg[854:856]=23.00000000-23.81900000;bull_ob=21.19500000-22.27000000;ote=22.26725000-23.07050000;sellside_sweep=20.59000000;ny_killzone=False; DIV(5): hidden_bullish/neutral; MTF(8): 15min:bull,1h:bull,4h:bull; COINLEGS(0): alpha=nan, bias=missing, no Coinlegs snapshot columns; COIL(0): score=missing; score=100",41.20723857070057,96.41296931865907,2024-05-27T04:00:00+00:00,883,-1.0094503963461443,-97.32411009162904,closed,"[{""timestamp"": ""2024-05-27T04:00:00+00:00"", ""price"": 21.17275745857143, ""fraction"": 1.0, ""r_multiple"": -1.0094503963461443, ""reason"": ""stop""}]",crypto,13,0,asia
ZECUSDT,4h,long,2024-05-27T08:00:00+00:00,884,27.415482,26.123214285714287,29.983571428571427,31.913749999999997,33.84392857142856,100,"long reclaim above 27.18000000; valid pullback; ICT(6): bull_fvg[862:864]=24.58000000-25.20000000;bull_ob=23.88000000-24.58000000;ote=25.78800000-26.26400000;sellside_sweep=25.20000000;ny_killzone=False; DIV(0): none/neutral; MTF(8): 15min:bull,1h:bull,4h:bull; COINLEGS(0): alpha=nan, bias=missing, no Coinlegs snapshot columns; COIL(0): score=missing; score=100",73.8544553598911,95.43972821774278,2024-05-27T12:00:00+00:00,885,-1.0206134001645397,-97.40706552709003,closed,"[{""timestamp"": ""2024-05-27T12:00:00+00:00"", ""price"": 26.117989642857143, ""fraction"": 1.0, ""r_multiple"": -1.0206134001645397, ""reason"": ""stop""}]",crypto,1,8,london
BANDUSDT,4h,long,2024-05-27T12:00:00+00:00,885,1.7893577999999999,1.6929214285714285,1.9811571428571428,2.1252750000000002,2.269392857142857,100,"long reclaim above 1.75400000; valid pullback; ICT(8): bull_fvg[869:871]=1.73600000-1.73700000;bull_ob=1.54300000-1.59000000;ote=1.57080000-1.61840000;sellside_sweep=1.57700000;ny_killzone=True; DIV(0): none/neutral; MTF(8): 15min:bull,1h:bull,4h:bull; COINLEGS(0): alpha=nan, bias=missing, no Coinlegs snapshot columns; COIL(0): score=missing; score=100",979.5646203096804,94.46565756247188,2024-05-30T04:00:00+00:00,901,-1.0179533978495952,-96.16163709581456,closed,"[{""timestamp"": ""2024-05-30T04:00:00+00:00"", ""price"": 1.6925828442857143, ""fraction"": 1.0, ""r_multiple"": -1.0179533978495952, ""reason"": ""stop""}]",crypto,16,12,london
LDOUSDT,4h,long,2024-05-24T00:00:00+00:00,864,2.3344668,1.9755714285714285,3.050857142857143,3.5885000000000007,4.126142857142858,100,"long reclaim above 2.27900000; valid pullback; ICT(6): bull_fvg[845:847]=2.16000000-2.21300000;bull_ob=1.73400000-1.77200000;ote=2.06835000-2.14230000;sellside_sweep=1.74900000;ny_killzone=False; DIV(0): none/neutral; MTF(8): 15min:bull,1h:bull,4h:bull; COINLEGS(0): alpha=nan, bias=missing, no Coinlegs snapshot columns; COIL(0): score=missing; score=100",268.6380962086258,96.41296931865907,2024-06-07T16:00:00+00:00,952,-1.0059041483956561,-96.98220579678227,closed,"[{""timestamp"": ""2024-06-07T16:00:00+00:00"", ""price"": 1.9751763142857144, ""fraction"": 1.0, ""r_multiple"": -1.0059041483956561, ""reason"": ""stop""}]",crypto,88,0,asia
AGLDUSDT,4h,long,2024-06-01T08:00:00+00:00,914,1.4112822,1.29975,1.6335000000000002,1.8003750000000003,1.9672500000000004,100,"long reclaim above 1.40700000; valid pullback; ICT(6): bull_fvg[899:901]=1.30500000-1.33600000;bull_ob=1.17800000-1.19400000;ote=1.28669000-1.31882000;sellside_sweep=1.28500000;ny_killzone=False; DIV(0): none/neutral; MTF(8): 15min:bull,1h:bull,4h:bull; COINLEGS(0): alpha=nan, bias=missing, no Coinlegs snapshot columns; COIL(0): score=missing; score=100",838.3591571897055,93.50404119151374,2024-06-14T12:00:00+00:00,993,0.7838330593456022,73.29155866832141,closed,"[{""timestamp"": ""2024-06-03T12:00:00+00:00"", ""price"": 1.6331733000000002, ""fraction"": 0.4, ""r_multiple"": 0.7914246031190991, ""reason"": ""tp1""}, {""timestamp"": ""2024-06-14T12:00:00+00:00"", ""price"": 1.41099994356, ""fraction"": 0.6, ""r_multiple"": -0.007591543773496889, ""reason"": ""stop""}]",crypto,79,8,london
KNCUSDT,4h,long,2024-06-12T12:00:00+00:00,981,0.8013602400000001,0.7031314285714285,0.997337142857143,1.1444400000000003,1.2915428571428575,100,"long reclaim above 0.79940000; valid pullback; ICT(8): bull_fvg[978:980]=0.75060000-0.76310000;bull_ob=0.62120000-0.72210000;ote=0.68789800-0.70554400;sellside_sweep=0.70630000;ny_killzone=True; DIV(0): none/neutral; MTF(8): 15min:bull,1h:bull,4h:bull; COINLEGS(0): alpha=nan, bias=missing, no Coinlegs snapshot columns; COIL(0): score=missing; score=100",942.0272706937258,92.5342191335459,2024-06-17T00:00:00+00:00,1008,-1.0075575250461868,-93.23354881227701,closed,"[{""timestamp"": ""2024-06-17T00:00:00+00:00"", ""price"": 0.7029908022857142, ""fraction"": 1.0, ""r_multiple"": -1.0075575250461868, ""reason"": ""stop""}]",crypto,27,12,london
YFIUSDT,4h,long,2024-07-01T08:00:00+00:00,1094,6565.3128,6243.185714285714,7205.628571428571,7686.85,8168.071428571428,100,"long reclaim above 6541.00000000; valid pullback; ICT(6): bull_fvg[1086:1088]=6403.00000000-6419.00000000;bull_ob=5733.00000000-5815.00000000;ote=6116.98000000-6242.44000000;sellside_sweep=5962.00000000;ny_killzone=False; DIV(4): regular_bullish/neutral; MTF(8): 15min:bull,1h:bull,4h:bull; COINLEGS(0): alpha=nan, bias=missing, no Coinlegs snapshot columns; COIL(0): score=missing; score=100",0.28664090455902813,92.33479923210635,2024-07-04T00:00:00+00:00,1110,-1.0197795757521775,-94.1611423880799,closed,"[{""timestamp"": ""2024-07-04T00:00:00+00:00"", ""price"": 6241.937077142858, ""fraction"": 1.0, ""r_multiple"": -1.0197795757521775, ""reason"": ""stop""}]",crypto,16,8,london
VTHOUSDT,4h,long,2024-07-14T16:00:00+00:00,1174,0.0027465492,0.0024020071428571426,0.0034339857142857153,0.003949975000000001,0.004465964285714288,100,"long reclaim above 0.00272300; valid pullback; ICT(6): bull_fvg[1166:1168]=0.00248700-0.00252800;bull_ob=0.00242800-0.00246400;ote=0.00252234-0.00256552;sellside_sweep=0.00230200;ny_killzone=False; DIV(0): none/neutral; MTF(8): 15min:bull,1h:bull,4h:bull; COINLEGS(0): alpha=nan, bias=missing, no Coinlegs snapshot columns; COIL(0): score=missing; score=100",265259.8889265097,91.39318780822553,2024-07-25T00:00:00+00:00,1236,-1.0073710357052,-92.066850258772,closed,"[{""timestamp"": ""2024-07-25T00:00:00+00:00"", ""price"": 0.002401526741428571, ""fraction"": 1.0, ""r_multiple"": -1.0073710357052, ""reason"": ""stop""}]",crypto,62,16,new_york
OGNUSDT,4h,long,2024-07-29T00:00:00+00:00,1260,0.11262252,0.09988571428571429,0.13802857142857144,0.15710000000000002,0.1761714285714286,100,"long reclaim above 0.10620000; valid pullback; ICT(6): bull_fvg[1246:1248]=0.09780000-0.10140000;bull_ob=0.08780000-0.09180000;ote=0.09976700-0.10192600;sellside_sweep=0.08650000;ny_killzone=False; DIV(5): hidden_bullish/neutral; MTF(8): 15min:bull,1h:bull,4h:bull; COINLEGS(0): alpha=nan, bias=missing, no Coinlegs snapshot columns; COIL(0): score=missing; score=100",7103.234620605307,90.47251930563782,2024-07-29T20:00:00+00:00,1265,-1.0082416618474876,-91.21816321624519,closed,"[{""timestamp"": ""2024-07-29T20:00:00+00:00"", ""price"": 0.09986573714285714, ""fraction"": 1.0, ""r_multiple"": -1.0082416618474876, ""reason"": ""stop""}]",crypto,5,0,asia
ZECUSDT,4h,long,2024-07-13T04:00:00+00:00,1165,25.60512,23.270785714285715,30.258428571428574,33.752250000000004,37.24607142857143,100,"long reclaim above 24.76000000; valid pullback; ICT(6): bull_fvg[1162:1164]=23.73000000-23.93000000;bull_ob=19.30000000-20.69000000;ote=21.22100000-21.74800000;sellside_sweep=21.28000000;ny_killzone=False; DIV(5): hidden_bullish/neutral; MTF(8): 15min:bull,1h:bull,4h:bull; COINLEGS(0): alpha=nan, bias=missing, no Coinlegs snapshot columns; COIL(0): score=missing; score=100",39.15171377447343,91.39318780822553,2024-08-01T12:00:00+00:00,1281,2.6874908909780126,245.61835973204887,closed,"[{""timestamp"": ""2024-07-16T12:00:00+00:00"", ""price"": 30.252376885714288, ""fraction"": 0.4, ""r_multiple"": 0.7925024132599454, ""reason"": ""tp1""}, {""timestamp"": ""2024-07-31T20:00:00+00:00"", ""price"": 33.745499550000005, ""fraction"": 0.3, ""r_multiple"": 1.0431204329027437, ""reason"": ""tp2""}, {""timestamp"": ""2024-08-01T12:00:00+00:00"", ""price"": 32.256747360000006, ""fraction"": 0.30000000000000004, ""r_multiple"": 0.8518680448153235, ""reason"": ""stop""}]",crypto,116,4,asia
SUNUSDT,4h,long,2024-08-19T16:00:00+00:00,1390,0.011162232,0.009989357142857142,0.013501285714285716,0.015257250000000003,0.01701321428571429,100,"long reclaim above 0.01069000; valid pullback; ICT(6): bull_fvg[1387:1389]=0.01016000-0.01017000;bull_ob=0.00900000-0.00920000;ote=0.00961930-0.01001540;sellside_sweep=0.00913000;ny_killzone=False; DIV(0): none/neutral; MTF(8): 15min:bull,1h:bull,4h:bull; COINLEGS(0): alpha=nan, bias=missing, no Coinlegs snapshot columns; COIL(0): score=missing; score=100",78453.82711583537,92.01652127079586,2024-08-21T08:00:00+00:00,1400,3.3302008899166475,306.4335010230385,closed,"[{""timestamp"": ""2024-08-20T12:00:00+00:00"", ""price"": 0.013498585457142859, ""fraction"": 0.4, ""r_multiple"": 0.7934313250869298, ""reason"": ""tp1""}, {""timestamp"": ""2024-08-20T20:00:00+00:00"", ""price"": 0.015254198550000004, ""fraction"": 0.3, ""r_multiple"": 1.0439476862149715, ""reason"": ""tp2""}, {""timestamp"": ""2024-08-21T08:00:00+00:00"", ""price"": 0.01700981164285715, ""fraction"": 0.30000000000000004, ""r_multiple"": 1.492821878614746, ""reason"": ""tp3""}]",crypto,10,16,new_york
TLMUSDT,4h,long,2024-08-22T12:00:00+00:00,1407,0.013112621999999999,0.01199942857142857,0.01717,0.018465000000000002,0.02025,100,"long reclaim above 0.01297000; valid pullback; ICT(8): bull_fvg[1381:1383]=0.01016000-0.01313000;bull_ob=0.00980000-0.01026000;ote=0.01152940-0.01274320;sellside_sweep=0.01164000;ny_killzone=True; DIV(5): hidden_bullish/neutral; MTF(8): 15min:bull,1h:bull,4h:bull; COINLEGS(0): alpha=nan, bias=missing, no Coinlegs snapshot columns; COIL(0): score=missing; score=100",85412.69993216218,95.08085628102624,2024-08-27T20:00:00+00:00,1439,-1.0111784220686066,-96.14371022318008,closed,"[{""timestamp"": ""2024-08-27T20:00:00+00:00"", ""price"": 0.011997028685714286, ""fraction"": 1.0, ""r_multiple"": -1.0111784220686066, ""reason"": ""stop""}]",crypto,32,12,london
GALAUSDT,4h,long,2024-08-23T00:00:00+00:00,1410,0.019453889999999998,0.017140714285714287,0.024068571428571422,0.027532499999999988,0.030996428571428557,100,"long reclaim above 0.01868000; valid pullback; ICT(6): bull_fvg[1401:1403]=0.01789000-0.01825000;bull_ob=0.01694000-0.01756000;ote=0.01757800-0.01788400;sellside_sweep=0.01677000;ny_killzone=False; DIV(0): none/neutral; MTF(8): 15min:bull,1h:bull,4h:bull; COINLEGS(0): alpha=nan, bias=missing, no Coinlegs snapshot columns; COIL(0): score=missing; score=100",41104.0353284992,95.08085628102624,2024-09-04T00:00:00+00:00,1482,-1.0078094427512454,-95.82338478489231,closed,"[{""timestamp"": ""2024-09-04T00:00:00+00:00"", ""price"": 0.017137286142857144, ""fraction"": 1.0, ""r_multiple"": -1.0078094427512454, ""reason"": ""stop""}]",crypto,72,0,asia
SUSHIUSDT,4h,long,2024-09-12T00:00:00+00:00,1530,0.6371274,0.5915642857142857,0.7278714285714287,0.7960250000000002,0.8641785714285718,100,"long reclaim above 0.63200000; valid pullback; ICT(6): bull_fvg[1515:1517]=0.62000000-0.62700000;bull_ob=0.55400000-0.57100000;ote=0.59987000-0.60786000;sellside_sweep=0.55200000;ny_killzone=False; DIV(0): none/neutral; MTF(8): 15min:bull,1h:bull,4h:bull; COINLEGS(0): alpha=nan, bias=missing, no Coinlegs snapshot columns; COIL(0): score=missing; score=100",2044.6623719958243,93.16118533094554,2024-09-18T12:00:00+00:00,1569,-1.0133823645693343,-94.40790227675558,closed,"[{""timestamp"": ""2024-09-18T12:00:00+00:00"", ""price"": 0.5914459728571428, ""fraction"": 1.0, ""r_multiple"": -1.0133823645693343, ""reason"": ""stop""}]",crypto,39,0,asia
