symbol,timeframe,timestamp,close,trend,ma7,ma25,ma99,rsi14,volume_zscore,close_zscore20,long_predictive_tag,short_predictive_tag
HBARUSDT,4h,2026-06-30T20:00:00+00:00,0.06953,bearish,0.07044857142857143,0.0713892,0.0769610101010101,32.87389321546557,-0.22959278567958968,-2.1712852526592044,predictive_zscore_reclaim,neutral
HOTUSDT,4h,2026-06-30T20:00:00+00:00,0.000291,bearish,0.0002948571428571428,0.00030596000000000003,0.0003074040404040404,41.00062145904061,-0.4656152177330818,-1.1627715760617052,neutral,neutral
ICXUSDT,4h,2026-06-30T20:00:00+00:00,0.0238,bearish,0.0243,0.024751999999999996,0.0268,34.45573635617917,-0.3063059410016281,-2.691459402747016,neutral,neutral
ILVUSDT,4h,2026-06-30T20:00:00+00:00,2.8,bearish,2.867142857142857,2.892,3.1745454545454543,37.33724254764831,0.18059959724390942,-2.467016462524587,neutral,neutral
IOSTUSDT,4h,2026-06-30T20:00:00+00:00,0.000698,bearish,0.0007005714285714287,0.0007126799999999999,0.000760020202020202,38.66643201876552,-1.1833839664716466,-1.4470103726613435,predictive_bollinger_reclaim,neutral
IOTXUSDT,4h,2026-06-30T20:00:00+00:00,0.00268,bearish,0.0027157142857142857,0.0027768,0.003011010101010101,36.782563049833705,-1.3310586028654465,-1.749404907151619,predictive_bollinger_reclaim,neutral
JASMYUSDT,4h,2026-06-30T20:00:00+00:00,0.00426,bearish,0.004324285714285714,0.0044116,0.004675555555555555,37.36638465364252,-0.48720607746693245,-1.7973567058696693,predictive_bollinger_reclaim,neutral
JOEUSDT,4h,2026-06-30T20:00:00+00:00,0.0276,bearish,0.028071428571428574,0.028659999999999998,0.03018888888888889,36.65979018204838,-1.0914240124292662,-2.300660865178161,neutral,neutral
KAVAUSDT,4h,2026-06-30T20:00:00+00:00,0.04175,bearish,0.041845714285714285,0.04274039999999999,0.04555666666666667,37.25859642847633,-0.8179397832088656,-1.3262495779149421,neutral,neutral
KNCUSDT,4h,2026-06-30T20:00:00+00:00,0.106,bearish,0.10724285714285715,0.10984800000000002,0.1150989898989899,38.49769053035618,-0.64852271202329,-1.3387767496621075,neutral,neutral
KSMUSDT,4h,2026-06-30T20:00:00+00:00,2.97,bearish,3.0042857142857144,3.0484000000000004,3.3842424242424243,38.27845533614811,-0.5147354667062811,-1.9462519836140464,neutral,neutral
LDOUSDT,4h,2026-06-30T20:00:00+00:00,0.2399,bearish,0.24665714285714285,0.247724,0.2637383838383838,37.09574186897228,-0.9772026463706329,-1.8025236832570082,predictive_bollinger_reclaim,neutral
LPTUSDT,4h,2026-06-30T20:00:00+00:00,1.514,bearish,1.532857142857143,1.5572,1.6840606060606058,37.37280839134828,-0.43999060029578,-1.6976571709529038,neutral,neutral
LQTYUSDT,4h,2026-06-30T20:00:00+00:00,0.178,bearish,0.17942857142857144,0.18419999999999997,0.19396969696969696,38.92273301312466,-0.3543151647322533,-1.6555300578119791,neutral,neutral
MAGICUSDT,4h,2026-06-30T20:00:00+00:00,0.0407,bearish,0.04208571428571429,0.043120000000000006,0.044928282828282824,40.687451467404415,-0.37654657408681164,-1.0245289097838517,neutral,neutral
MANAUSDT,4h,2026-06-30T20:00:00+00:00,0.0622,bearish,0.0625142857142857,0.063956,0.06807878787878788,39.11847800843765,-1.118875745413441,-1.4527439966300069,neutral,neutral
MASKUSDT,4h,2026-06-30T20:00:00+00:00,0.376,bearish,0.3805714285714286,0.38420000000000004,0.3874141414141415,40.03548526230249,-0.7104107603581238,-1.8019723186721268,predictive_bollinger_reclaim,neutral
MINAUSDT,4h,2026-06-30T20:00:00+00:00,0.0378,bearish,0.03782857142857143,0.038536,0.040972727272727265,42.09703665814534,1.2279122301791139,-1.113176295048372,neutral,neutral
OCEANUSDT,4h,2024-07-01T00:00:00+00:00,0.6123,bearish,0.5995714285714285,0.6159840000000001,0.6222,48.026400015178375,0.5520120746973561,0.4955500958400697,neutral,neutral
OGNUSDT,4h,2026-06-30T20:00:00+00:00,0.01453,bearish,0.014677142857142857,0.014922,0.016336060606060607,37.26121829476471,-0.5291831380562438,-1.6686656014783792,predictive_bollinger_reclaim,neutral
ONEUSDT,4h,2026-06-30T20:00:00+00:00,0.00115,bearish,0.0011957142857142858,0.0012243999999999998,0.0013576767676767678,33.976715835155844,1.6764602853434145,-2.4652986512671937,neutral,neutral
ONTUSDT,4h,2026-06-30T20:00:00+00:00,0.04223,neutral,0.04302142857142858,0.042856399999999996,0.04519919191919192,41.796690487956354,-0.3549202872596479,-1.0878411797022436,neutral,neutral
PEOPLEUSDT,4h,2026-06-30T20:00:00+00:00,0.00496,bearish,0.0049871428571428575,0.0050756,0.005421111111111111,41.48273657501259,-0.7311497743838666,-1.3311353904659937,neutral,neutral
PONDUSDT,4h,2026-06-30T20:00:00+00:00,0.00092,bearish,0.0009785714285714287,0.0010608,0.0014323232323232322,30.825656596714595,-0.736831306938686,-1.597454360603037,neutral,neutral
POWRUSDT,4h,2026-06-30T20:00:00+00:00,0.045,neutral,0.04737142857142857,0.04847200000000001,0.04654040404040404,43.43972215274336,-0.7256433334048826,-1.1193056425816035,neutral,neutral
PROMUSDT,4h,2026-06-30T20:00:00+00:00,1.1,neutral,1.1248571428571428,1.1100400000000001,1.1174646464646465,44.68509338313066,-1.2509776502680137,-0.46244942189686333,neutral,neutral
PYRUSDT,4h,2026-06-30T20:00:00+00:00,0.156,bearish,0.159,0.16372,0.1747272727272727,31.2318232706439,0.13115413600327966,-1.9444250246607664,predictive_bollinger_reclaim,neutral
QNTUSDT,4h,2026-06-30T20:00:00+00:00,64.86,bearish,65.30142857142856,65.5888,68.58404040404041,43.819060613083245,-0.5830637662486697,-1.021218746182233,neutral,neutral
RADUSDT,4h,2026-06-30T20:00:00+00:00,0.214,neutral,0.21285714285714283,0.2132,0.21805050505050505,52.6645753185115,-0.288246063089163,0.7453559931478121,neutral,neutral
RAREUSDT,4h,2026-06-30T20:00:00+00:00,0.012,bearish,0.012028571428571428,0.012144000000000002,0.012773737373737373,43.247174159388045,0.30367067159482597,-0.904534030545705,neutral,neutral
ROSEUSDT,4h,2026-06-30T20:00:00+00:00,0.00557,bearish,0.005674285714285714,0.0058368,0.006381717171717171,31.540343135229847,-0.9539217667658249,-2.1085939031061014,neutral,neutral
RVNUSDT,4h,2026-06-30T20:00:00+00:00,0.00369,bearish,0.003778571428571429,0.0039136,0.004096464646464647,30.90873012269202,-0.5475629319590335,-2.085672392408555,neutral,neutral
